Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
160;0;-52.8905;-5.09764;-83.7784;8.87702;2930.15;5.42222;0;0;0.1;0.01;0;3.12733;0;0;-1-1;-1
160;1;-36.6395;-29.4894;-85.9844;10.1162;4336.56;6.12434;0;0;0.1;0.01;0;3.56408;0;42;-1-1;-1
160;2;-38.9379;-12.9724;-87.2541;8.98054;3033.87;5.49625;0;0;0.1;0.01;0;3.53434;0;0;-1-1;-1
160;3;-38.0258;1.98783;-81.8694;9.51435;3607.66;5.82786;0;0;0.1;0.01;0;5.14903;0;0;-1-1;-1
160;4;-28.4859;18.066;-77.4812;4.87985;486.751;3.5216;0;0;3.70116e-05;0.01;0;4.04652;100;62;-1-1;-1
160;5;-21.0332;-38.0162;-85.0013;9.74995;3882.36;5.92959;0;0;0.1;0.01;0;4.21728;0;0;-1-1;-1
160;6;-20.4968;-22.1238;-89.8937;9.38649;3464.16;5.72866;0;0;0.1;0.01;0;3.93093;0;0;-1-1;-1
160;7;-23.7486;-7.67387;-81.8222;9.38358;3460.94;5.72368;0;0;0.1;0.01;0;4.81517;0;0;-1-1;-1
160;8;-20.2928;11.1082;-86.1797;9.52687;3621.93;5.8167;0;0;0.1;0.01;0;3.24851;0;0;-1-1;-1
160;9;-22.4034;27.3081;-84.8595;9.62012;3729.33;5.86013;0;0;0.1;0.01;0;3.47979;0;0;-1-1;-1
160;10;-4.49747;-45.8615;-81.8004;8.64078;2702.38;5.27987;0;0;0.1;0.01;0;4.15113;0;0;-1-1;-1
160;11;-6.13595;-30.1455;-84.3677;9.71294;3838.31;5.90294;0;0;0.1;0.01;0;5.34452;0;0;-1-1;-1
160;12;-7.22411;-13.1095;-85.6827;9.53096;3626.6;5.80596;0;0;0.1;0.01;0;4.21239;0;0;-1-1;-1
160;13;1.95155;-0.78112;-84.2719;4.18843;307.781;2.96271;0;0;0.000141169;0.01;0;3.8004;100;0;-1-1;-1
160;14;-7.96537;13.5719;-78.0743;5.88191;852.402;3.77857;0;0;0.0077619;0.01;0;3.42713;100;0;-1-1;-1
160;15;-4.68417;34.9863;-87.1689;10.0086;4199.63;6.05947;0;0;0.1;0.01;0;3.76321;0;0;-1-1;-1
160;16;12.1086;-39.8968;-77.2857;8.13301;2253.42;4.91185;0;0;0.1;0.01;0;6.14774;1;0;-1-1;-1
160;17;8.77487;-21.9982;-88.7358;10.2576;4520.89;6.18715;0;0;0.1;0.01;0;4.08017;0;52;-1-1;-1
160;18;13.3391;-6.40208;-84.3182;9.42511;3507.1;5.76966;0;0;0.1;0.01;0;4.62833;0;0;-1-1;-1
160;19;8.90845;9.12465;-82.7637;9.40925;3489.43;5.74423;0;0;0.1;0.01;0;4.54015;0;0;-1-1;-1
160;20;9.78829;26.4121;-84.8749;9.45244;3537.69;5.77634;0;0;0.1;0.01;0;4.72034;0;0;-1-1;-1
160;21;9.97834;41.9012;-87.1709;8.59954;2663.88;5.25237;0;0;0.1;0.01;0;4.56918;0;0;-1-1;-1
160;22;23.7455;-49.4034;-81.107;9.83061;3979.51;5.97221;0;0;0.1;0.01;0;3.53661;0;0;-1-1;-1
160;23;25.6303;-34.523;-90.9647;10.2467;4506.48;6.18552;0;0;0.1;0.01;0;2.4624;0;52;-1-1;-1
160;24;24.8053;-17.0345;-77.8282;4.67237;427.269;3.35476;0;0;0.000141169;0.01;0;4.36057;100;0;-1-1;-1
160;25;24.9474;4.23594;-82.8223;9.33015;3402.16;5.69574;0;0;0.1;0.01;0;5.43163;0;0;-1-1;-1
160;26;24.4474;19.7805;-84.8968;9.48855;3578.39;5.80602;0;0;0.1;0.01;0;5.5131;0;0;-1-1;-1
160;27;24.9112;36.5897;-84.7619;10.0882;4300.67;6.10215;0;0;0.1;0.01;0;4.74217;0;0;-1-1;-1
160;28;36.9291;-41.4789;-80.0041;6.84566;1343.8;4.48564;0;0;0.00399297;0.01;0;3.88285;100;0;-1-1;-1
160;29;38.2677;-27.6816;-82.1785;8.93705;2990;5.47083;0;0;0.1;0.01;0;4.2297;0;0;-1-1;-1
160;30;34.5714;-13.7531;-82.7642;8.19481;2305.18;4.9422;0;0;0.1;0.01;0;3.87419;1;70;-1-1;-1
160;31;49.889;8.90427;-81.8227;8.20411;2313.04;4.94611;0;0;0.1;0.01;0;2.95895;1;0;-1-1;-1
160;32;36.4827;27.086;-87.535;6.72651;1274.85;4.42098;0;0;0.00399297;0.01;0;3.71281;100;34;-1-1;-1
160;33;-70.7991;-14.9646;-70.4805;9.78848;3928.57;5.95236;0;0;0.1;0.01;0;2.54699;0;0;-1-1;-1
160;34;-61.8409;-40.444;-68.4452;10.1728;4409.7;6.15623;0;0;0.1;0.01;0;2.4239;0;0;-1-1;-1
160;35;-55.4635;-21.2421;-69.3257;9.75681;3890.56;5.92519;0;0;0.1;0.01;0;5.6445;0;0;-1-1;-1
160;36;-57.5116;-5.29007;-67.6807;8.91449;2967.42;5.42594;0;0;0.1;0.01;0;5.99366;0;0;-1-1;-1
160;37;-51.269;6.87756;-74.9132;8.61391;2677.25;5.26713;0;0;0.1;0.01;0;4.95011;0;0;-1-1;-1
160;38;-58.1547;30.6977;-70.8891;9.22349;3286.81;5.65398;0;0;0.1;0.01;0;3.2781;0;0;-1-1;-1
160;39;-58.9441;47.3242;-68.6701;9.88742;4048.9;5.99944;0;0;0.1;0.01;0;3.79029;0;0;-1-1;-1
160;40;-40.9722;-50.0013;-69.7921;9.60029;3706.31;5.85611;0;0;0.1;0.01;0;4.09782;0;0;-1-1;-1
160;41;-46.0905;-34.5818;-70.508;9.8309;3979.86;5.97355;0;0;0.1;0.01;0;5.72192;0;0;-1-1;-1
160;42;-44.0074;-10.5072;-73.0229;8.66858;2728.55;5.31307;0;0;0.1;0.01;0;6.18882;0;0;-1-1;-1
160;43;-40.3329;1.54538;-66.0265;8.84938;2902.87;5.4001;0;0;0.1;0.01;0;6.50625;0;0;-1-1;-1
160;44;-39.0673;15.8804;-69.9025;9.17152;3231.56;5.62544;0;0;0.1;0.01;0;6.08373;0;0;-1-1;-1
160;45;-43.4552;39.94;-70.6566;9.85243;4006.07;5.98629;0;0;0.1;0.01;0;5.49623;0;0;-1-1;-1
160;46;-44.0135;55.0129;-69.8181;9.05619;3111.18;5.53222;0;0;0.1;0.01;0;4.76082;0;0;-1-1;-1
160;47;-28.9252;-61.9936;-67.3459;9.37996;3456.94;5.73588;0;0;0.1;0.01;0;4.80354;0;0;-1-1;-1
160;48;-30.8085;-37.011;-72.8232;8.66614;2726.25;5.28159;0;0;0.1;0.01;0;5.76536;0;0;-1-1;-1
160;49;-26.2013;-22.5102;-75.0062;9.45164;3536.8;5.77884;0;0;0.1;0.01;0;6.71188;0;0;-1-1;-1
160;50;-28.8413;-9.12553;-66.5028;8.96662;3019.78;5.47422;0;0;0.1;0.01;0;6.75326;0;0;-1-1;-1
160;51;-25.8878;6.39431;-71.7863;9.77796;3915.91;5.93481;0;0;0.1;0.01;0;6.58067;0;0;-1-1;-1
160;52;-29.5103;29.1807;-69.1609;10.2099;4458.11;6.16732;0;0;0.1;0.01;0;7.12028;0;40;-1-1;-1
160;53;-28.7524;45.4141;-76.2304;9.78255;3921.44;5.94569;0;0;0.1;0.01;0;4.54851;0;0;-1-1;-1
160;54;-28.6757;61.1381;-69.2533;10.0545;4257.6;6.09157;0;0;0.1;0.01;0;4.75773;0;84;-1-1;-1
160;55;-12.7163;-64.8787;-70.6515;10.1122;4331.37;6.12239;0;0;0.1;0.01;0;4.32074;0;0;-1-1;-1
160;56;-12.8813;-47.3246;-68.8381;9.22484;3288.25;5.64793;0;0;0.1;0.01;0;7.00673;0;0;-1-1;-1
160;57;-12.9923;-30.6987;-69.1431;9.50989;3602.59;5.80984;0;0;0.1;0.01;0;6.49967;0;0;-1-1;-1
160;58;-13.3756;-13.7472;-69.8197;9.73383;3863.14;5.9163;0;0;0.1;0.01;0;6.82135;0;0;-1-1;-1
160;59;-10.8399;2.9919;-67.0095;9.83825;3988.8;5.96781;0;0;0.1;0.01;0;5.87999;0;0;-1-1;-1
160;60;-14.2259;19.7491;-67.4924;9.45531;3540.92;5.76983;0;0;0.1;0.01;0;6.70652;0;0;-1-1;-1
160;61;-14.4412;36.0232;-73.3131;9.61906;3728.09;5.85902;0;0;0.1;0.01;0;6.53622;0;0;-1-1;-1
160;62;-13.8469;52.7186;-71.8196;10.0178;4211.18;6.0681;0;0;0.1;0.01;0;4.79975;0;0;-1-1;-1
160;63;0.727539;-55.4904;-70.3079;9.56618;3666.94;5.82541;0;0;0.1;0.01;0;5.99221;0;0;-1-1;-1
160;64;0.784944;-39.2566;-67.9676;9.41579;3496.7;5.77314;0;0;0.1;0.01;0;7.49574;0;0;-1-1;-1
160;65;5.25735;-26.8245;-74.5141;8.30414;2398.69;5.03465;0;0;0.1;0.01;0;6.2022;0;0;-1-1;-1
160;66;1.66935;-6.15631;-73.0416;10.1296;4353.79;6.12798;0;0;0.1;0.01;0;6.91624;0;0;-1-1;-1
160;67;1.95127;12.314;-68.4955;8.86684;2920.09;5.42971;0;0;0.1;0.01;0;6.21101;0;0;-1-1;-1
160;68;-0.266662;27.3208;-72.0285;9.22316;3286.45;5.64788;0;0;0.1;0.01;0;6.08867;0;0;-1-1;-1
160;69;1.37118;43.9668;-74.082;9.81369;3959;5.95782;0;0;0.1;0.01;0;7.02631;0;0;-1-1;-1
160;70;0.927615;61.6032;-69.1194;10.1059;4323.29;6.11426;0;0;0.1;0.01;0;4.34864;0;0;-1-1;-1
160;71;13.2199;-64.5629;-64.8966;9.77707;3914.84;5.93618;0;0;0.1;0.01;0;4.4448;0;0;-1-1;-1
160;72;14.2125;-48.3427;-65.8808;9.37218;3448.35;5.74263;0;0;0.1;0.01;0;7.27508;0;0;-1-1;-1
160;73;14.6848;-32.2389;-65.1841;8.49959;2572.07;5.19206;0;0;0.1;0.01;0;7.40126;0;0;-1-1;-1
160;74;15.0412;-15.9133;-70.6383;9.22232;3285.56;5.64961;0;0;0.1;0.01;0;7.82981;0;0;-1-1;-1
160;75;15.6478;2.09095;-69.2092;9.6927;3814.37;5.89424;0;0;0.1;0.01;0;7.76354;0;0;-1-1;-1
160;76;15.8576;18.2734;-71.6812;9.38491;3462.42;5.75569;0;0;0.1;0.01;0;7.44496;0;0;-1-1;-1
160;77;14.9292;33.9644;-71.3634;9.57924;3681.99;5.83024;0;0;0.1;0.01;0;7.59574;0;0;-1-1;-1
160;78;16.8476;48.1194;-75.8188;8.19616;2306.32;4.94284;0;0;0.1;0.01;0;5.12187;0;0;-1-1;-1
160;79;28.0264;-57.1991;-66.3349;9.25657;3322.31;5.67649;0;0;0.1;0.01;0;5.11569;0;0;-1-1;-1
160;80;28.3968;-39.989;-67.96;10.1166;4337.08;6.11814;0;0;0.1;0.01;0;7.92926;0;72;-1-1;-1
160;81;30.1088;-23.7485;-69.239;9.25054;3315.81;5.68674;0;0;0.1;0.01;0;7.81276;0;0;-1-1;-1
160;82;29.494;-6.60681;-70.3453;9.88948;4051.43;6.00321;0;0;0.1;0.01;0;7.28401;0;0;-1-1;-1
160;83;31.7645;11.1788;-70.6389;7.85469;2029.9;4.96373;0;0;0.0186895;0.01;0;5.10817;100;0;-1-1;-1
