simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0751179	18999	274.461
40	1228	91	0	106.923	3.71532e-06	4.15344
80	1244	16	0	95.9588	7.01334e-16	0.0173741
120	1269	25	0	96.3165	1.26109e-25	0.000219728
160	1296	27	0	96.2066	2.11153e-35	1.35206e-06
200	1331	35	0	95.8684	3.25169e-45	5.53703e-09
240	1375	44	0	96.8239	4.57817e-55	2.26752e-11
280	1433	58	0	96.6633	5.9396e-65	9.28573e-14
320	1489	56	0	96.8536	7.02718e-75	3.80255e-16
360	1552	64	1	97.6114	7.61841e-85	1.55714e-18
400	1647	95	0	97.8145	7.49591e-95	6.37632e-21
440	1750	105	2	98.6436	6.59238e-105	2.61099e-23
480	1864	119	5	99.4193	5.18803e-115	1.06914e-25
520	1998	138	4	98.9545	3.5666e-125	4.37775e-28
560	2111	113	0	100.172	2.14221e-135	1.7925e-30
600	2199	89	1	100.906	1.11031e-145	7.33933e-33
640	2290	98	7	100.777	4.87697e-156	3.00497e-35
680	2386	101	5	102.656	1.7936e-166	1.2303e-37
720	2422	41	5	104.436	5.57449e-177	5.03692e-40
760	2462	46	6	104.179	1.48017e-187	2.06207e-42
800	2502	44	4	106.092	3.32765e-198	8.44165e-45
840	2580	82	4	105.957	6.25663e-209	3.45569e-47
880	2648	74	6	105.621	9.99068e-220	1.41458e-49
920	2761	116	3	105.79	1.35258e-230	5.79034e-52
960	2856	104	9	108.021	1.54946e-241	2.37011e-54
1000	2968	117	5	108.706	1.50228e-252	9.70102e-57
1040	3155	188	1	110.165	1.21125e-263	3.97056e-59
1080	3333	188	10	111.915	8.01414e-275	1.62507e-61
1120	3559	231	5	112.667	4.31169e-286	6.65083e-64
1160	3829	277	7	113.108	1.84546e-297	2.72185e-66
1200	4015	194	8	116.298	0	1.11387e-68
1240	4191	186	10	115.77	0	4.55808e-71
1280	4380	195	6	118.577	0	1.86511e-73
1320	4531	163	12	119.204	0	7.63137e-76
1360	4612	95	14	120.598	0	3.12227e-78
1400	4688	82	6	130.331	0	32.6583
